ç
Semáforo, Latitude, Longitude
R. Afonso Cavalcanti x R. Amoroso Lima,"-22.91003482","-43.20381288"
R. Benedito Hipólito x R. Carmo Neto,"-22.90925229","-43.20098475"
R. Benedito Hipólito x R. Marq de Sapucaí,"-22.90855089","-43.19814638"
Av. Pres. Vargas x Trav. Ped.,"-22.90767834","-43.19821838"
Av. Pres. Vargas x Trav. Ped.,"-22.90750265","-43.19891131"
R. Benedito Hipólito x R. Santana,"-22.90752285","-43.19447746"
R. Benedito Hipólito x Trav. Ped.,"-22.90785067","-43.1956899"
Av. Pres. Vargas x R. Santana,"-22.90654292","-43.19494567"
Av. Pres. Vargas x Trav. Ped.,"-22.90583004","-43.19276528"
Av. Pres. Vargas x Pç. da Republica,"-22.90530215","-43.19117381"
Av. Mal. Floriano x Pç. Duque de Caxias,"-22.90393992","-43.19006715"
R. Bento Ribeiro x R. Barão de São Felix,"-22.90186222","-43.19189399"
R. Bento Ribeiro x R. Senad Pompeu,"-22.90286168","-43.1910169"
R. Senad Pompeu x R. Visc da Gávea,"-22.90175216","-43.19037359"
Av. Mal. Floriano x R. Visc da Gávea,"-22.90343709","-43.18810763"
Av. Mal. Floriano x Via de Ligação (Sem Código),"-22.90359006","-43.18885982"
Av. Pres. Vargas x R. Visc da Gávea,"-22.90449053","-43.18866159"
Av. Pres. Vargas x Trav. Ped.,"-22.90385912","-43.18662956"
Av. Mal. Floriano x Av. Tome de Souza,"-22.90302571","-43.18730347"
Av. Mal. Floriano x R. Alexandre Mackenzie,"-22.90239514","-43.18603755"
Av. Passos x R. Buenos Aires,"-22.9046062","-43.18283759"
Av. Passos x Trav. Ped.,"-22.90396985","-43.18325115"
Av. Pres. Vargas x Av. Passos,"-22.9030724","-43.18433569"
Av. Mal. Floriano x R. Camerino,"-22.9022855","-43.18401491"
R. Senad Pompeu x R. Camerino,"-22.89993455","-43.18734127"
Av.Barão de Tefé x R. Sacadura Cabral,"-22.89741151","-43.18776623"
Av.Barão de Tefé x Av. Venezuela,"-22.89551913","-43.18703952"
Av. Pres. Vargas x R. Uruguaiana,"-22.90226262","-43.18179924"
Av. Mal. Floriano x R. Uruguaiana,"-22.90064391","-43.18231951"
Av. Venezuela x R. Edgar Gordilho,"-22.89675957","-43.18378961"
Av. Venezuela x R. Américo Rangel,"-22.89730372","-43.18234096"
Av. Rodrigues Alves x R. Américo Rangel,"-22.89611818","-43.18187476"
Av. Rio Branco x Av. Rodrigues Alves,"-22.89636117","-43.18139649"
Av. Rio Branco x R. Acre,"-22.89822632","-43.18069509"
Av. Rio Branco x R. Dom Gerardo,"-22.89859956","-43.18016117"
R. Acre x Trav. Ped.,"-22.89976657","-43.18112819"
Av. Rio Branco x R. Visc de Inhaúma,"-22.89973288","-43.17949832"
Av. Rio Branco x Av. Pres. Vargas,"-22.90187982","-43.17936589"
R. Primeiro de Marco x R. Visc de Inhaúma,"-22.89948486","-43.17722071"
R. Primeiro de Marco x Av. Pres. Vargas,"-22.90075882","-43.17699943"
R. Visc de Duprat x R. Julio do Carmo,"-22.91090067","-43.20363083"
Av. Venezuela x R. Souza e Silva,"-22.89510095","-43.18877407"
Av. Rodrigues Alves x Via de Ligação (Sem Código),"-22.89572272","-43.18270599"
Av. Paulo de Frontin x R. Haddock Lobo,"-22.91700798","-43.21042738"
R. Haddock Lobo x Trav. Ped.,"-22.91723882","-43.21085762"
